source,target,source_name,target_name,source_type,target_type,text,edge_type
297,67,Kirloskar Oil Engines,Data centre capacity (MW IT load),COMPANY,PRODUCT,Kirloskar Oil Engines supplies to Data centre capacity (MW IT load),SUPPLIES_TO
298,70,HBL Engineering,UPS / DC power backup,COMPANY,PRODUCT,HBL Engineering supplies to UPS / DC power backup,SUPPLIES_TO
299,68,Apar Industries,Power transformer,COMPANY,PRODUCT,Apar Industries supplies to Power transformer,SUPPLIES_TO
302,67,Thermax,Data centre capacity (MW IT load),COMPANY,PRODUCT,Thermax supplies to Data centre capacity (MW IT load),SUPPLIES_TO
303,67,Blue Star,Data centre capacity (MW IT load),COMPANY,PRODUCT,Blue Star supplies to Data centre capacity (MW IT load),SUPPLIES_TO
304,4,Voltas,Gulf producers,COMPANY,GEOGRAPHY,Voltas exposed to orderbook Gulf producers,EXPOSED_TO_ORDERBOOK
304,67,Voltas,Data centre capacity (MW IT load),COMPANY,PRODUCT,Voltas supplies to Data centre capacity (MW IT load),SUPPLIES_TO
305,291,KRN Heat Exchanger,Schneider Electric Infrastructure,COMPANY,COMPANY,KRN Heat Exchanger supplies to Schneider Electric Infrastructure,SUPPLIES_TO
306,72,Amber Enterprises,Precision cooling / CDU,COMPANY,PRODUCT,Amber Enterprises supplies to Precision cooling / CDU,SUPPLIES_TO
307,72,Johnson Controls-Hitachi AC India,Precision cooling / CDU,COMPANY,PRODUCT,Johnson Controls-Hitachi AC India supplies to Precision cooling / CDU,SUPPLIES_TO
309,76,Netweb Technologies,AI server / GPU system,COMPANY,PRODUCT,Netweb Technologies produces AI server / GPU system,PRODUCES
309,83,Netweb Technologies,GPU supply,COMPANY,CONSTRAINT,Netweb Technologies constrained by GPU supply,CONSTRAINED_BY
309,102,Netweb Technologies,IndiaAI sovereign compute,COMPANY,CUSTOMER,Netweb Technologies supplies to IndiaAI sovereign compute,SUPPLIES_TO
310,99,Dixon Technologies,IT hardware PLI,COMPANY,POLICY,Dixon Technologies benefits from IT hardware PLI,BENEFITS_FROM
311,100,Kaynes Technology,India Semiconductor Mission / OSAT,COMPANY,POLICY,Kaynes Technology benefits from India Semiconductor Mission / OSAT,BENEFITS_FROM
316,67,Sterlite Technologies,Data centre capacity (MW IT load),COMPANY,PRODUCT,Sterlite Technologies supplies to Data centre capacity (MW IT load),SUPPLIES_TO
317,75,HFCL,Optical fibre / interconnect,COMPANY,PRODUCT,HFCL supplies to Optical fibre / interconnect,SUPPLIES_TO
318,67,Tejas Networks,Data centre capacity (MW IT load),COMPANY,PRODUCT,Tejas Networks supplies to Data centre capacity (MW IT load),SUPPLIES_TO
319,88,Indus Towers,Generative AI,COMPANY,TECHNOLOGY,Indus Towers benefits from Generative AI,BENEFITS_FROM
320,67,Polycab India,Data centre capacity (MW IT load),COMPANY,PRODUCT,Polycab India supplies to Data centre capacity (MW IT load),SUPPLIES_TO
321,67,KEI Industries,Data centre capacity (MW IT load),COMPANY,PRODUCT,KEI Industries supplies to Data centre capacity (MW IT load),SUPPLIES_TO
324,68,Ram Ratna Wires,Power transformer,COMPANY,PRODUCT,Ram Ratna Wires supplies to Power transformer,SUPPLIES_TO
325,68,Precision Wires India,Power transformer,COMPANY,PRODUCT,Precision Wires India supplies to Power transformer,SUPPLIES_TO
326,80,Skipper,Transmission evacuation capacity,COMPANY,CONSTRAINT,Skipper supplies to Transmission evacuation capacity,SUPPLIES_TO
327,0,Larsen & Toubro,Strait of Hormuz disruption,COMPANY,EVENT,Larsen & Toubro hedges Strait of Hormuz disruption,HEDGES
327,4,Larsen & Toubro,Gulf producers,COMPANY,GEOGRAPHY,Larsen & Toubro exposed to orderbook Gulf producers,EXPOSED_TO_ORDERBOOK
327,67,Larsen & Toubro,Data centre capacity (MW IT load),COMPANY,PRODUCT,Larsen & Toubro supplies to Data centre capacity (MW IT load),SUPPLIES_TO
328,1,Techno Electric & Engineering,India AI infrastructure capex cycle,COMPANY,EVENT,Techno Electric & Engineering benefits from India AI infrastructure capex cycle,BENEFITS_FROM
329,80,Kalpataru Projects,Transmission evacuation capacity,COMPANY,CONSTRAINT,Kalpataru Projects supplies to Transmission evacuation capacity,SUPPLIES_TO
330,4,KEC International,Gulf producers,COMPANY,GEOGRAPHY,KEC International exposed to orderbook Gulf producers,EXPOSED_TO_ORDERBOOK
330,80,KEC International,Transmission evacuation capacity,COMPANY,CONSTRAINT,KEC International supplies to Transmission evacuation capacity,SUPPLIES_TO
334,13,NTPC,Spot LNG / JKM,COMPANY,MACRO_VAR,NTPC benefits from Spot LNG / JKM,BENEFITS_FROM
335,109,NTPC Green Energy,CtrlS Datacenters,COMPANY,PRIVATE_CO,NTPC Green Energy supplies to CtrlS Datacenters,SUPPLIES_TO
336,80,Power Grid Corporation,Transmission evacuation capacity,COMPANY,CONSTRAINT,Power Grid Corporation benefits from Transmission evacuation capacity,BENEFITS_FROM
337,1,Tata Power,India AI infrastructure capex cycle,COMPANY,EVENT,Tata Power benefits from India AI infrastructure capex cycle,BENEFITS_FROM
339,1,Adani Green Energy,India AI infrastructure capex cycle,COMPANY,EVENT,Adani Green Energy benefits from India AI infrastructure capex cycle,BENEFITS_FROM
342,81,NHPC,Grid stability under volatile DC load ramps,COMPANY,CONSTRAINT,NHPC benefits from Grid stability under volatile DC load ramps,BENEFITS_FROM
343,1,Indian Energy Exchange,India AI infrastructure capex cycle,COMPANY,EVENT,Indian Energy Exchange benefits from India AI infrastructure capex cycle,BENEFITS_FROM
347,0,Waaree Energies,Strait of Hormuz disruption,COMPANY,EVENT,Waaree Energies benefits from Strait of Hormuz disruption,BENEFITS_FROM
352,79,Power Finance Corporation,Power availability,COMPANY,CONSTRAINT,Power Finance Corporation benefits from Power availability,BENEFITS_FROM
353,79,REC Ltd,Power availability,COMPANY,CONSTRAINT,REC Ltd benefits from Power availability,BENEFITS_FROM
354,81,IREDA,Grid stability under volatile DC load ramps,COMPANY,CONSTRAINT,IREDA benefits from Grid stability under volatile DC load ramps,BENEFITS_FROM
356,67,Ion Exchange India,Data centre capacity (MW IT load),COMPANY,PRODUCT,Ion Exchange India supplies to Data centre capacity (MW IT load),SUPPLIES_TO
357,87,TeamLease Services,Liquid cooling / HV commissioning talent,COMPANY,CONSTRAINT,TeamLease Services benefits from Liquid cooling / HV commissioning talent,BENEFITS_FROM
358,87,Quess Corp,Liquid cooling / HV commissioning talent,COMPANY,CONSTRAINT,Quess Corp benefits from Liquid cooling / HV commissioning talent,BENEFITS_FROM
