text,ground_truth
What is the biggest threat facing AU Small Finance Bank according to the analysis?,Intensifying competition from universal banks and NBFCs in vehicle and MSME finance.
"What credit, market, operational or regulatory risks is AU Small Finance Bank exposed to?","Regulatory and execution risk tied to its pending universal-bank transition, credit risk in unsecured retail and MSME lending, and interest-rate risk."
"What is Equitas Small Finance Bank's primary competitive advantage, and how strong is the evidence behind that claim?","Its diversified secured book, deliberately limiting microfinance concentration to roughly 10% of advances (genuine, directly evidenced strategic strength)."
What is the key strength identified for Equitas Small Finance Bank in the current analysis?,"Returned to profit this quarter, with profit after tax of ₹184 crore against a loss of ₹224 crore a year earlier."
What is the main weakness or vulnerability flagged for Equitas Small Finance Bank?,Cost-to-income remains elevated at 68.38%; deposit growth of 10% year-on-year is trailing advances growth of 27%.
What is the biggest threat facing Equitas Small Finance Bank according to the analysis?,Gross NPA around 2.4% still reflects the residual effects of the 2024-25 sector-wide microfinance stress cycle (moderate confidence).
"What credit, market, operational or regulatory risks is Equitas Small Finance Bank exposed to?",Credit risk from residual microfinance exposure and funding risk from the deposit-growth lag relative to assets.
"What is Ujjivan Small Finance Bank's primary competitive advantage, and how strong is the evidence behind that claim?","Its rapid diversification away from pure microfinance, evidenced by gold-loan growth of 248.6% and MSME growth of 54%."
What is the key strength identified for Ujjivan Small Finance Bank in the current analysis?,"Profit after tax of ₹317 crore, up 206.7% year-on-year, and return on equity of 18.2%, alongside provision coverage strengthening to 85%."
What is the main weakness or vulnerability flagged for Ujjivan Small Finance Bank?,"The sudden, health-related CEO transition, creating near-term governance and strategy-continuity risk."
What is the biggest threat facing Ujjivan Small Finance Bank according to the analysis?,Its residual microbanking exposure remains subject to the sector-wide over-leverage stress seen across the industry in 2024-25 (moderate confidence).
"What credit, market, operational or regulatory risks is Ujjivan Small Finance Bank exposed to?",Operational risk from the leadership transition and credit risk from MFI-legacy stress.
What is the key strength identified for ESAF Small Finance Bank in the current analysis?,"Returned to profit this quarter (₹80 crore versus a ₹81 crore loss a year earlier), with both gross NPA (down to 5.40% from 7.48%) and net NPA (down to 0.83% from 3.77%) improving substantially."
What is the main weakness or vulnerability flagged for ESAF Small Finance Bank?,"A gross NPA of 5.40% remains materially above better-capitalized small-finance-bank peers such as AU Small Finance Bank at 2.10%, a clear sign of continued residual microfinance over-leverage stress (high confidence)."
What is the biggest threat facing ESAF Small Finance Bank according to the analysis?,"CARE Ratings only recently moved the bank's outlook from Negative to Stable, on 2 September 2026, reflecting what remains a still-fragile credit profile (high confidence)."
"What credit, market, operational or regulatory risks is ESAF Small Finance Bank exposed to?","Credit risk (the highest gross NPA of any small finance bank in the dataset), concentration risk given its unusually concentrated promoter and co-operative-society ownership structure, and regulatory risk from RBI's microfinance and household-indebtedness norms."
Who are ESAF Small Finance Bank's main named competitors?,AU Small Finance Bank is cited as a better-capitalized peer by comparison on gross NPA (2.10% versus ESAF's 5.40%).
What is the key strength identified for Utkarsh Small Finance Bank in the current analysis?,"Collection efficiency in the earliest-delinquency bucket reached 99.63%, and net loss narrowed 85.84% year-on-year — genuine signs of stabilization."
What is the main weakness or vulnerability flagged for Utkarsh Small Finance Bank?,Gross NPA of 6.09% and net NPA of 2.86% remain the highest asset-quality stress of any small finance bank in the dataset; deposit growth of just 2.6% and loan growth of just 2.0% both signal a deliberate balance-sheet pause.
What is the biggest threat facing Utkarsh Small Finance Bank according to the analysis?,"ICRA revised the bank's rating outlook to Negative on 22 May 2025 over asset-quality concerns, a position that remained unresolved as of the most recent data found (high confidence)."
"What credit, market, operational or regulatory risks is Utkarsh Small Finance Bank exposed to?","Credit risk from the still-elevated gross and net NPA, regulatory risk from the negative rating outlook, and concentration/governance risk given the scale of the recent promoter dilution."
What is the key strength identified for Suryoday Small Finance Bank in the current analysis?,Net profit rising 113.10% year-on-year to ₹75.18 crore and capital adequacy of 21.6%.
What is the main weakness or vulnerability flagged for Suryoday Small Finance Bank?,"Reliance on other income alongside, in some recent periods, negative core financing margins raises real earnings-quality questions; combined foreign and domestic institutional ownership is only about 10.8%, suggesting comparatively lower institutional conviction than most peers."
What is the biggest threat facing Suryoday Small Finance Bank according to the analysis?,"The bank's small scale relative to its small-finance-bank peers, limiting economies of scale (moderate confidence)."
"What credit, market, operational or regulatory risks is Suryoday Small Finance Bank exposed to?","Reputational and operational risk tied to the unresolved GNPA discrepancy, and ordinary credit risk."
What is the key strength identified for Jana Small Finance Bank in the current analysis?,"Profit after tax of ₹155.23 crore, up 52.29% year-on-year, and full-year FY26 profit of ₹326 crore — a genuine turnaround for a bank with a historically volatile earnings record."
What is the main weakness or vulnerability flagged for Jana Small Finance Bank?,"FY26 return on equity was only 8%, well below several peers (e.g., Ujjivan Small Finance Bank's 18.2%), and the bank pays no dividend at all despite repeated profits."
What is the biggest threat facing Jana Small Finance Bank according to the analysis?,"Continued dilution of the promoter's holding, from 22.54% to 16.94% between March 2024 and June 2026 — a governance and ownership-stability point worth watching."
"What credit, market, operational or regulatory risks is Jana Small Finance Bank exposed to?","Credit risk and reputational risk tied to its historically volatile earnings record (it suffered a large loss of around ₹2,504 crore during the 2016 demonetization period)."
Who are Jana Small Finance Bank's main named competitors?,Ujjivan Small Finance Bank is cited by comparison on return on equity (18.2% versus Jana's 8%).
"Compare the gross NPA ratio of HDFC Bank and ICICI Bank. Which is stronger, and by how much?",HDFC Bank's gross NPA ratio is 0.91% versus ICICI Bank's 1.38%; HDFC Bank is stronger by 0.47 percentage points.
"Compare the return on equity of HDFC Bank and ICICI Bank. Which is stronger, and by how much?",HDFC Bank's return on equity is 13.8% versus ICICI Bank's 11.9%; HDFC Bank is stronger by 1.9 percentage points.
"Compare the CASA ratio of HDFC Bank and ICICI Bank. Which is stronger, and by how much?",HDFC Bank's CASA ratio is 32.0% versus ICICI Bank's 38.1%; ICICI Bank is stronger by 6.1 percentage points.
"Compare the net interest margin of HDFC Bank and ICICI Bank. Which is stronger, and by how much?",HDFC Bank's net interest margin is 3.26% versus ICICI Bank's 4.36%; ICICI Bank is stronger by 1.1 percentage points.
"Compare the gross NPA ratio of HDFC Bank and Axis Bank. Which is stronger, and by how much?",HDFC Bank's gross NPA ratio is 0.91% versus Axis Bank's 1.28%; HDFC Bank is stronger by 0.37 percentage points.
"Compare the return on equity of HDFC Bank and Axis Bank. Which is stronger, and by how much?",HDFC Bank's return on equity is 13.8% versus Axis Bank's 14.16%; Axis Bank is stronger by 0.36 percentage points.
"Compare the CASA ratio of HDFC Bank and Axis Bank. Which is stronger, and by how much?",HDFC Bank's CASA ratio is 32.0% versus Axis Bank's 38.0%; Axis Bank is stronger by 6.0 percentage points.
"Compare the net interest margin of HDFC Bank and Axis Bank. Which is stronger, and by how much?",HDFC Bank's net interest margin is 3.26% versus Axis Bank's 3.46%; Axis Bank is stronger by 0.2 percentage points.
"Compare the gross NPA ratio of ICICI Bank and Axis Bank. Which is stronger, and by how much?",ICICI Bank's gross NPA ratio is 1.38% versus Axis Bank's 1.28%; Axis Bank is stronger by 0.1 percentage points.
"Compare the return on equity of ICICI Bank and Axis Bank. Which is stronger, and by how much?",ICICI Bank's return on equity is 11.9% versus Axis Bank's 14.16%; Axis Bank is stronger by 2.26 percentage points.
"Compare the CASA ratio of ICICI Bank and Axis Bank. Which is stronger, and by how much?",ICICI Bank's CASA ratio is 38.1% versus Axis Bank's 38.0%; ICICI Bank is stronger by 0.1 percentage points.
"Compare the net interest margin of ICICI Bank and Axis Bank. Which is stronger, and by how much?",ICICI Bank's net interest margin is 4.36% versus Axis Bank's 3.46%; ICICI Bank is stronger by 0.9 percentage points.
"Compare the gross NPA ratio of ICICI Bank and Kotak Mahindra Bank. Which is stronger, and by how much?",ICICI Bank's gross NPA ratio is 1.38% versus Kotak Mahindra Bank's 1.18%; Kotak Mahindra Bank is stronger by 0.2 percentage points.
"Compare the return on equity of ICICI Bank and Kotak Mahindra Bank. Which is stronger, and by how much?",ICICI Bank's return on equity is 11.9% versus Kotak Mahindra Bank's 11.98%; Kotak Mahindra Bank is stronger by 0.08 percentage points.
"Compare the CASA ratio of ICICI Bank and Kotak Mahindra Bank. Which is stronger, and by how much?",ICICI Bank's CASA ratio is 38.1% versus Kotak Mahindra Bank's 40.3%; Kotak Mahindra Bank is stronger by 2.2 percentage points.
"Compare the net interest margin of ICICI Bank and Kotak Mahindra Bank. Which is stronger, and by how much?",ICICI Bank's net interest margin is 4.36% versus Kotak Mahindra Bank's 4.53%; Kotak Mahindra Bank is stronger by 0.17 percentage points.
"Compare the gross NPA ratio of HDFC Bank and Kotak Mahindra Bank. Which is stronger, and by how much?",HDFC Bank's gross NPA ratio is 0.91% versus Kotak Mahindra Bank's 1.18%; HDFC Bank is stronger by 0.27 percentage points.
"Compare the return on equity of HDFC Bank and Kotak Mahindra Bank. Which is stronger, and by how much?",HDFC Bank's return on equity is 13.8% versus Kotak Mahindra Bank's 11.98%; HDFC Bank is stronger by 1.82 percentage points.
"Compare the CASA ratio of HDFC Bank and Kotak Mahindra Bank. Which is stronger, and by how much?",HDFC Bank's CASA ratio is 32.0% versus Kotak Mahindra Bank's 40.3%; Kotak Mahindra Bank is stronger by 8.3 percentage points.
"Compare the net interest margin of HDFC Bank and Kotak Mahindra Bank. Which is stronger, and by how much?",HDFC Bank's net interest margin is 3.26% versus Kotak Mahindra Bank's 4.53%; Kotak Mahindra Bank is stronger by 1.27 percentage points.
"Compare the gross NPA ratio of State Bank of India and HDFC Bank. Which is stronger, and by how much?",State Bank of India's gross NPA ratio is 1.47% versus HDFC Bank's 0.91%; HDFC Bank is stronger by 0.56 percentage points.
"Compare the return on equity of State Bank of India and HDFC Bank. Which is stronger, and by how much?",State Bank of India's return on equity is 17.87% versus HDFC Bank's 13.8%; State Bank of India is stronger by 4.07 percentage points.
"Compare the CASA ratio of State Bank of India and HDFC Bank. Which is stronger, and by how much?",State Bank of India's CASA ratio is 39.24% versus HDFC Bank's 32.0%; State Bank of India is stronger by 7.24 percentage points.
"Compare the net interest margin of State Bank of India and HDFC Bank. Which is stronger, and by how much?",State Bank of India's net interest margin is 3.0% versus HDFC Bank's 3.26%; HDFC Bank is stronger by 0.26 percentage points.
"Compare the gross NPA ratio of State Bank of India and Bank of Baroda. Which is stronger, and by how much?",State Bank of India's gross NPA ratio is 1.47% versus Bank of Baroda's 1.99%; State Bank of India is stronger by 0.52 percentage points.
"Compare the return on equity of State Bank of India and Bank of Baroda. Which is stronger, and by how much?",State Bank of India's return on equity is 17.87% versus Bank of Baroda's 3.89%; State Bank of India is stronger by 13.98 percentage points.
"Compare the CASA ratio of State Bank of India and Bank of Baroda. Which is stronger, and by how much?",State Bank of India's CASA ratio is 39.24% versus Bank of Baroda's 37.72%; State Bank of India is stronger by 1.52 percentage points.
"Compare the net interest margin of State Bank of India and Bank of Baroda. Which is stronger, and by how much?",State Bank of India's net interest margin is 3.0% versus Bank of Baroda's 2.77%; State Bank of India is stronger by 0.23 percentage points.
"Compare the gross NPA ratio of State Bank of India and Punjab National Bank. Which is stronger, and by how much?",State Bank of India's gross NPA ratio is 1.47% versus Punjab National Bank's 2.78%; State Bank of India is stronger by 1.31 percentage points.
"Compare the return on equity of State Bank of India and Punjab National Bank. Which is stronger, and by how much?",State Bank of India's return on equity is 17.87% versus Punjab National Bank's 17.33%; State Bank of India is stronger by 0.54 percentage points.
"Compare the CASA ratio of State Bank of India and Punjab National Bank. Which is stronger, and by how much?",State Bank of India's CASA ratio is 39.24% versus Punjab National Bank's 36.7%; State Bank of India is stronger by 2.54 percentage points.
"Compare the net interest margin of State Bank of India and Punjab National Bank. Which is stronger, and by how much?",State Bank of India's net interest margin is 3.0% versus Punjab National Bank's 2.5%; State Bank of India is stronger by 0.5 percentage points.
"Compare the gross NPA ratio of Bank of Baroda and Canara Bank. Which is stronger, and by how much?",Bank of Baroda's gross NPA ratio is 1.99% versus Canara Bank's 1.57%; Canara Bank is stronger by 0.42 percentage points.
"Compare the return on equity of Bank of Baroda and Canara Bank. Which is stronger, and by how much?",Bank of Baroda's return on equity is 3.89% versus Canara Bank's 18.31%; Canara Bank is stronger by 14.42 percentage points.
"Compare the CASA ratio of Bank of Baroda and Canara Bank. Which is stronger, and by how much?",Bank of Baroda's CASA ratio is 37.72% versus Canara Bank's 29.7%; Bank of Baroda is stronger by 8.02 percentage points.
"Compare the gross NPA ratio of Bank of Baroda and Punjab National Bank. Which is stronger, and by how much?",Bank of Baroda's gross NPA ratio is 1.99% versus Punjab National Bank's 2.78%; Bank of Baroda is stronger by 0.79 percentage points.
"Compare the return on equity of Bank of Baroda and Punjab National Bank. Which is stronger, and by how much?",Bank of Baroda's return on equity is 3.89% versus Punjab National Bank's 17.33%; Punjab National Bank is stronger by 13.44 percentage points.
"Compare the CASA ratio of Bank of Baroda and Punjab National Bank. Which is stronger, and by how much?",Bank of Baroda's CASA ratio is 37.72% versus Punjab National Bank's 36.7%; Bank of Baroda is stronger by 1.02 percentage points.
"Compare the net interest margin of Bank of Baroda and Punjab National Bank. Which is stronger, and by how much?",Bank of Baroda's net interest margin is 2.77% versus Punjab National Bank's 2.5%; Bank of Baroda is stronger by 0.27 percentage points.
"Compare the gross NPA ratio of Canara Bank and Union Bank of India. Which is stronger, and by how much?",Canara Bank's gross NPA ratio is 1.57% versus Union Bank of India's 2.65%; Canara Bank is stronger by 1.08 percentage points.
"Compare the gross NPA ratio of Union Bank of India and Bank of India. Which is stronger, and by how much?",Union Bank of India's gross NPA ratio is 2.65% versus Bank of India's 1.81%; Bank of India is stronger by 0.84 percentage points.
"Compare the net interest margin of Union Bank of India and Bank of India. Which is stronger, and by how much?",Union Bank of India's net interest margin is 2.8% versus Bank of India's 2.52%; Union Bank of India is stronger by 0.28 percentage points.
"Compare the gross NPA ratio of Indian Bank and Central Bank of India. Which is stronger, and by how much?",Indian Bank's gross NPA ratio is 1.86% versus Central Bank of India's 2.6%; Indian Bank is stronger by 0.74 percentage points.
"Compare the net interest margin of Indian Overseas Bank and UCO Bank. Which is stronger, and by how much?",Indian Overseas Bank's net interest margin is 3.48% versus UCO Bank's 3.0%; Indian Overseas Bank is stronger by 0.48 percentage points.
"Compare the gross NPA ratio of Bank of Maharashtra and Punjab & Sind Bank. Which is stronger, and by how much?",Bank of Maharashtra's gross NPA ratio is 1.45% versus Punjab & Sind Bank's 2.21%; Bank of Maharashtra is stronger by 0.76 percentage points.
"Compare the gross NPA ratio of IndusInd Bank and Yes Bank. Which is stronger, and by how much?",IndusInd Bank's gross NPA ratio is 3.25% versus Yes Bank's 1.3%; Yes Bank is stronger by 1.95 percentage points.
"Compare the return on equity of IndusInd Bank and Yes Bank. Which is stronger, and by how much?",IndusInd Bank's return on equity is 6.26% versus Yes Bank's 8.3%; Yes Bank is stronger by 2.04 percentage points.
"Compare the CASA ratio of IndusInd Bank and Yes Bank. Which is stronger, and by how much?",IndusInd Bank's CASA ratio is 29.43% versus Yes Bank's 32.7%; Yes Bank is stronger by 3.27 percentage points.
"Compare the net interest margin of IndusInd Bank and Yes Bank. Which is stronger, and by how much?",IndusInd Bank's net interest margin is 3.57% versus Yes Bank's 2.7%; IndusInd Bank is stronger by 0.87 percentage points.
"Compare the gross NPA ratio of IDFC First Bank and Federal Bank. Which is stronger, and by how much?",IDFC First Bank's gross NPA ratio is 1.51% versus Federal Bank's 1.52%; IDFC First Bank is stronger by 0.01 percentage points.
"Compare the CASA ratio of IDFC First Bank and Federal Bank. Which is stronger, and by how much?",IDFC First Bank's CASA ratio is 50.8% versus Federal Bank's 32.23%; IDFC First Bank is stronger by 18.57 percentage points.
"Compare the net interest margin of IDFC First Bank and Federal Bank. Which is stronger, and by how much?",IDFC First Bank's net interest margin is 5.96% versus Federal Bank's 3.33%; IDFC First Bank is stronger by 2.63 percentage points.
"Compare the gross NPA ratio of Federal Bank and South Indian Bank. Which is stronger, and by how much?",Federal Bank's gross NPA ratio is 1.52% versus South Indian Bank's 1.38%; South Indian Bank is stronger by 0.14 percentage points.
"Compare the gross NPA ratio of RBL Bank and Bandhan Bank. Which is stronger, and by how much?",RBL Bank's gross NPA ratio is 1.3% versus Bandhan Bank's 3.1%; RBL Bank is stronger by 1.8 percentage points.
"Compare the CASA ratio of RBL Bank and Bandhan Bank. Which is stronger, and by how much?",RBL Bank's CASA ratio is 25.2% versus Bandhan Bank's 29.4%; Bandhan Bank is stronger by 4.2 percentage points.
"Compare the gross NPA ratio of Karur Vysya Bank and City Union Bank. Which is stronger, and by how much?",Karur Vysya Bank's gross NPA ratio is 0.74% versus City Union Bank's 2.99%; Karur Vysya Bank is stronger by 2.25 percentage points.
"Compare the net interest margin of Karur Vysya Bank and City Union Bank. Which is stronger, and by how much?",Karur Vysya Bank's net interest margin is 4.34% versus City Union Bank's 3.78%; Karur Vysya Bank is stronger by 0.56 percentage points.
"Compare the gross NPA ratio of DCB Bank and Karnataka Bank. Which is stronger, and by how much?",DCB Bank's gross NPA ratio is 2.43% versus Karnataka Bank's 2.58%; DCB Bank is stronger by 0.15 percentage points.
"Compare the return on equity of DCB Bank and Karnataka Bank. Which is stronger, and by how much?",DCB Bank's return on equity is 13.61% versus Karnataka Bank's 11.6%; DCB Bank is stronger by 2.01 percentage points.
"Compare the gross NPA ratio of Tamilnad Mercantile Bank and CSB Bank. Which is stronger, and by how much?",Tamilnad Mercantile Bank's gross NPA ratio is 0.69% versus CSB Bank's 1.75%; Tamilnad Mercantile Bank is stronger by 1.06 percentage points.
"Compare the CASA ratio of Tamilnad Mercantile Bank and CSB Bank. Which is stronger, and by how much?",Tamilnad Mercantile Bank's CASA ratio is 26.0% versus CSB Bank's 19.0%; Tamilnad Mercantile Bank is stronger by 7.0 percentage points.
"Compare the gross NPA ratio of Jammu & Kashmir Bank and Dhanlaxmi Bank. Which is stronger, and by how much?",Jammu & Kashmir Bank's gross NPA ratio is 2.37% versus Dhanlaxmi Bank's 1.82%; Dhanlaxmi Bank is stronger by 0.55 percentage points.
"Compare the gross NPA ratio of IDBI Bank and Yes Bank. Which is stronger, and by how much?",IDBI Bank's gross NPA ratio is 2.98% versus Yes Bank's 1.3%; Yes Bank is stronger by 1.68 percentage points.
"Compare the return on equity of IDBI Bank and Yes Bank. Which is stronger, and by how much?",IDBI Bank's return on equity is 16.1% versus Yes Bank's 8.3%; IDBI Bank is stronger by 7.8 percentage points.
"Compare the net interest margin of IDBI Bank and Yes Bank. Which is stronger, and by how much?",IDBI Bank's net interest margin is 3.61% versus Yes Bank's 2.7%; IDBI Bank is stronger by 0.91 percentage points.
"Compare the gross NPA ratio of AU Small Finance Bank and Equitas Small Finance Bank. Which is stronger, and by how much?",AU Small Finance Bank's gross NPA ratio is 2.1% versus Equitas Small Finance Bank's 2.42%; AU Small Finance Bank is stronger by 0.32 percentage points.
"Compare the CASA ratio of AU Small Finance Bank and Equitas Small Finance Bank. Which is stronger, and by how much?",AU Small Finance Bank's CASA ratio is 29.0% versus Equitas Small Finance Bank's 25.0%; AU Small Finance Bank is stronger by 4.0 percentage points.
"Compare the net interest margin of AU Small Finance Bank and Equitas Small Finance Bank. Which is stronger, and by how much?",AU Small Finance Bank's net interest margin is 5.9% versus Equitas Small Finance Bank's 7.24%; Equitas Small Finance Bank is stronger by 1.34 percentage points.
"Compare the gross NPA ratio of Ujjivan Small Finance Bank and ESAF Small Finance Bank. Which is stronger, and by how much?",Ujjivan Small Finance Bank's gross NPA ratio is 2.17% versus ESAF Small Finance Bank's 5.4%; Ujjivan Small Finance Bank is stronger by 3.23 percentage points.
"Compare the CASA ratio of Ujjivan Small Finance Bank and ESAF Small Finance Bank. Which is stronger, and by how much?",Ujjivan Small Finance Bank's CASA ratio is 37.8% versus ESAF Small Finance Bank's 23.39%; Ujjivan Small Finance Bank is stronger by 14.41 percentage points.
"Compare the gross NPA ratio of Jana Small Finance Bank and AU Small Finance Bank. Which is stronger, and by how much?",Jana Small Finance Bank's gross NPA ratio is 2.39% versus AU Small Finance Bank's 2.1%; AU Small Finance Bank is stronger by 0.29 percentage points.
"Compare the gross NPA ratio of Kotak Mahindra Bank and IndusInd Bank. Which is stronger, and by how much?",Kotak Mahindra Bank's gross NPA ratio is 1.18% versus IndusInd Bank's 3.25%; Kotak Mahindra Bank is stronger by 2.07 percentage points.
"Compare the return on equity of Kotak Mahindra Bank and IndusInd Bank. Which is stronger, and by how much?",Kotak Mahindra Bank's return on equity is 11.98% versus IndusInd Bank's 6.26%; Kotak Mahindra Bank is stronger by 5.72 percentage points.
"Compare the CASA ratio of Kotak Mahindra Bank and IndusInd Bank. Which is stronger, and by how much?",Kotak Mahindra Bank's CASA ratio is 40.3% versus IndusInd Bank's 29.43%; Kotak Mahindra Bank is stronger by 10.87 percentage points.
"Compare the net interest margin of Kotak Mahindra Bank and IndusInd Bank. Which is stronger, and by how much?",Kotak Mahindra Bank's net interest margin is 4.53% versus IndusInd Bank's 3.57%; Kotak Mahindra Bank is stronger by 0.96 percentage points.
"Compare the gross NPA ratio of Axis Bank and IDFC First Bank. Which is stronger, and by how much?",Axis Bank's gross NPA ratio is 1.28% versus IDFC First Bank's 1.51%; Axis Bank is stronger by 0.23 percentage points.
"Compare the CASA ratio of Axis Bank and IDFC First Bank. Which is stronger, and by how much?",Axis Bank's CASA ratio is 38.0% versus IDFC First Bank's 50.8%; IDFC First Bank is stronger by 12.8 percentage points.
"Compare the net interest margin of Axis Bank and IDFC First Bank. Which is stronger, and by how much?",Axis Bank's net interest margin is 3.46% versus IDFC First Bank's 5.96%; IDFC First Bank is stronger by 2.5 percentage points.
"Across all 39 listed Indian banks in this dataset, which report the highest CASA ratio?",IDFC First Bank — 50.8% — highest among the 26 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest CASA ratio?",CSB Bank — 19% — lowest among the 26 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest net interest margin?",ESAF Small Finance Bank — 7.9% — highest among the 26 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest net interest margin?",Punjab National Bank — 2.5% — lowest among the 26 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest gross NPA ratio?",Utkarsh Small Finance Bank — 6.09% — highest among the 37 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest gross NPA ratio?",Tamilnad Mercantile Bank — 0.69% — lowest among the 37 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest net NPA ratio?",Utkarsh Small Finance Bank — 2.86% — highest among the 32 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest net NPA ratio?",Indian Bank — 0.15% — lowest among the 32 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest return on assets?",ICICI Bank — 2.18% — highest among the 18 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest return on assets?",Bank of Baroda — 0.25% — lowest among the 18 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest return on equity?",Canara Bank — 18.31% — highest among the 20 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest return on equity?",Bank of Baroda — 3.89% — lowest among the 20 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest cost-to-income ratio?",IDFC First Bank — 70.7% — highest among the 14 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest cost-to-income ratio?",ICICI Bank — 38.5% — lowest among the 14 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest capital adequacy ratio (CRAR)?",RBL Bank — 33.3% — highest among the 32 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest capital adequacy ratio (CRAR)?",Yes Bank — 14% — lowest among the 32 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest CET1 ratio?",Kotak Mahindra Bank — 22.4% — highest among the 16 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest CET1 ratio?",Canara Bank — 12.91% — lowest among the 16 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest provision coverage ratio?",Indian Bank — 98.22% — highest among the 23 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest provision coverage ratio?",HDFC Bank — 66% — lowest among the 23 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest year-on-year deposit growth?",CSB Bank — 26% — highest among the 19 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest year-on-year deposit growth?",Utkarsh Small Finance Bank — 2.6% — lowest among the 19 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest year-on-year advances growth?",Central Bank of India — 28.58% — highest among the 18 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest year-on-year advances growth?",IndusInd Bank — -2% — lowest among the 18 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the highest year-on-year net profit growth?",Punjab National Bank — 213.6% — highest among the 12 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
"Across all 39 listed Indian banks in this dataset, which report the lowest year-on-year net profit growth?",HDFC Bank — 5% — lowest among the 12 of 39 banks in this dataset for which this dataset gives a usable figure. (Banks with no disclosed or reconcilable figure for this metric are excluded rather than assumed.)
